SITENO,11,12,21,22,23,24,31,41,42,43,52,71,81,82,90,95
01486000,0.03,0.00,5.51,5.58,3.92,1.35,0.00,0.54,10.91,3.86,1.57,0.00,0.30,26.78,39.63,0.00
01487000,0.07,0.00,4.35,5.47,1.54,0.44,0.00,1.87,2.82,4.33,0.51,0.07,0.00,52.06,26.43,0.04
01491000,0.21,0.00,5.83,3.80,0.54,0.06,0.14,5.50,0.73,3.31,0.48,0.03,0.80,44.53,34.03,0.01
01500500,1.53,0.00,5.85,1.55,0.45,0.08,0.07,37.52,4.89,14.02,0.13,0.14,24.19,2.18,6.48,0.93
01503000,1.12,0.00,5.67,1.66,0.41,0.06,0.19,38.89,4.60,14.92,0.12,0.17,23.79,2.66,5.07,0.69
01510000,0.18,0.00,4.13,1.20,0.12,0.01,0.01,44.99,7.37,12.74,0.33,0.24,22.44,2.51,3.43,0.32
01512500,0.77,0.00,5.15,2.14,0.51,0.11,0.10,39.24,4.68,11.63,0.17,0.19,25.47,4.91,4.49,0.44
01516500,0.28,0.00,6.80,1.49,0.40,0.12,0.04,35.20,0.61,11.79,0.24,0.37,40.40,0.93,1.14,0.19
01518000,0.47,0.00,5.14,1.76,0.81,0.14,0.77,48.89,1.67,13.07,0.36,0.50,24.50,0.45,1.32,0.16
01518862,0.23,0.00,5.52,1.32,0.26,0.04,0.09,47.55,0.92,8.81,0.06,0.19,31.49,3.15,0.30,0.08
01520000,0.69,0.00,5.37,1.54,0.24,0.04,0.08,40.63,1.02,14.13,0.04,0.11,33.32,2.38,0.27,0.16
01520500,0.64,0.00,5.33,1.64,0.52,0.08,0.36,43.67,1.32,14.63,0.17,0.25,28.89,1.52,0.79,0.20
01531000,0.59,0.00,5.51,2.72,0.83,0.18,0.24,40.26,1.73,15.13,0.13,0.15,25.87,4.79,1.60,0.27
01532000,0.32,0.00,4.32,1.15,0.30,0.07,0.35,48.73,1.07,14.66,0.12,0.65,22.55,3.25,2.16,0.30
01534000,1.20,0.00,8.04,2.40,0.71,0.15,0.31,39.55,1.23,14.86,0.03,0.27,25.76,0.61,4.28,0.60
01539000,0.36,0.00,5.62,1.38,0.19,0.01,0.03,40.76,1.56,26.85,0.09,0.26,13.90,6.98,1.90,0.11
01541000,0.09,0.00,5.91,1.99,0.36,0.04,3.24,46.41,1.78,18.80,0.56,0.89,14.60,4.91,0.41,0.01
01541500,0.83,0.00,5.12,1.81,0.30,0.03,5.90,47.15,2.24,20.08,0.41,1.11,11.84,2.79,0.38,0.01
01542810,0.00,0.00,1.12,0.03,0.01,0.00,0.01,83.58,0.06,8.75,1.21,4.35,0.49,0.00,0.39,0.01
01543000,0.04,0.00,2.13,0.65,0.19,0.05,0.12,74.55,0.48,15.50,2.02,1.23,2.19,0.01,0.80,0.05
01543500,0.13,0.00,2.04,0.53,0.12,0.02,0.32,74.04,0.84,16.34,1.31,0.98,2.36,0.03,0.85,0.07
01544500,0.01,0.00,1.58,0.22,0.01,0.00,0.31,72.79,1.18,16.37,2.03,1.01,3.65,0.50,0.32,0.01
01545600,0.01,0.00,0.93,0.05,0.00,0.00,0.02,60.69,2.19,32.35,2.27,1.17,0.02,0.00,0.29,0.01
01547700,0.01,0.00,4.10,1.50,0.18,0.01,0.03,64.08,0.61,13.99,0.50,0.81,13.23,0.94,0.01,0.00
