SITENO,dam_count,min_NID,max_NID,TOT_POPDENS90,TOT_POPDENS00,TOT_POPDENS10,TOT_FRESHWATER_WD,TOT_S1100,TOT_S1200,TOT_S1400,TOT_S1500,TOT_S1630,TOT_S1640,TOT_S1710,TOT_S1720,TOT_S1730,TOT_S1740,TOT_S1780,TOT_S1820,TOT_TOTAL_ROAD_DENS,TOT_RDX,GAGESII_class,WR_report_remarks,ADR_citation,Screening_comments
11253310,NA,NA,NA,0.04,0.06,0,77.11,0,0,0.44,0.08,0,0,0,0,0,0,0,0,0.52,21,Ref,Some small dams for stock use upstream from station,http://web10capp.er.usgs.gov/imf/sites/adr/pdfs/11253310.2005.pdf,"mostly undeveloped, NEoA"
11264500,NA,NA,NA,0.01,0.74,0.09,25.87,0,0.01,0.02,0,0,0,0,0,0,0,0,0,0.03,3,Ref,Up to 5 cfs diverted upstream for domestic water supply,http://web10capp.er.usgs.gov/imf/sites/adr/pdfs/11264500.2005.pdf,"HBN, mostly wilderness, small local diversion"
11266500,NA,NA,NA,1.02,0.96,2,14.84,0,0.06,0.08,0,0,0,0.01,0,0,0,0,0,0.15,76,Ref,No diversions between stations at Happy Isles Bridge and Pohono Bridge,http://web10capp.er.usgs.gov/imf/sites/adr/pdfs/11266500.2005.pdf,mostly wilderness--YOSE
11274500,NA,NA,NA,0.01,0,0,148.71,0,0,0.12,0,0,0,0,0,0,0,0,0,0.12,32,Ref,No storage or diversion upstream from station,http://web10capp.er.usgs.gov/imf/sites/adr/pdfs/11274500.2005.pdf,mostly roadless
11274630,NA,NA,NA,0.05,0.05,0.06,148.78,0.01,0,0.26,0,0,0,0,0,0,0,0,0,0.27,37,Ref,Some stock ponds and small diversions upstream,http://web10capp.er.usgs.gov/imf/sites/adr/pdfs/11274630.2005.pdf,possible diversions
11281000,NA,NA,NA,0.14,0.19,0.08,1.99,0,0.14,0.74,0.05,0,0,0.01,0,0,0.01,0,0,0.95,44,Non-ref,Small diversions from headwaters,http://pubs.usgs.gov/wdr/2005/wdr-id-05-1/pdf/ID05v1-14.pdf,wilderness
11284400,NA,NA,NA,12.12,13,11.73,2,0,0.22,1.7,0.15,0,0,0,0,0,0.17,0,0,2.24,29,Ref,No storage or diversion from station.,http://web10capp.er.usgs.gov/imf/sites/adr06/pdfs/11284400.2006.pdf,"lt development, mostly forested basin, NEoA"
11299600,NA,NA,NA,1.68,2.12,2.71,2.34,0,0.12,0.36,0,0,0,0,0,0,0.02,0,0,0.51,10,Ref,No regulation or diversion upstream from station,http://web10capp.er.usgs.gov/imf/sites/adr/pdfs/11299600.2005.pdf,"mostly roadless, NEoA"
11342000,1,26000,26000,9.04,9.2,8.94,14.17,0.11,0.01,1.59,0.07,0.03,0,0,0,0,0.01,0,0,1.82,349,Non-ref,Diversions upstream from station for irrigation and municipal use.,http://web10capp.er.usgs.gov/imf/sites/adr06/pdfs/13351000.2006.pdf,upstrm irrigated ag
11355500,NA,NA,NA,0.39,0.41,0.4,15.88,0,0.15,0.7,0.07,0,0.01,0,0,0,0.01,0,0,0.94,43,Non-ref,Flow completely regulated since December 1960 by Prineville Reservoir (station 14080400).  Diversions for irrigation upstream from station.,1991 ADR,poximal reservoir--Prineville Reservoir
11381500,NA,NA,NA,0.4,0.03,0,19.41,0,0.1,0.65,0.05,0,0,0,0,0,0,0,0,0.81,43,Ref,No storage or large diversion upstream from station.,http://web10capp.er.usgs.gov/imf/sites/adr06/pdfs/11381500.2006.pdf,"mostly roadless, some loggin in HW"
