SITENO,YR,MNTH,RX1day,RX5day
01013500,2002,9,31.45,51.2
01013500,2002,10,11.95,35.54
01013500,2002,11,16.12,32.17
01013500,2002,12,16.63,23.79
01013500,2003,1,5.6,6.98
01013500,2003,2,27.55,48.76
01013500,2003,3,9.97,21.82
01013500,2003,4,8.52,27.23
01013500,2003,5,14.8,26.24
01013500,2003,6,15.57,30.01
01013500,2003,7,17.5,58.92
01013500,2003,8,24.09,60.28
01013500,2003,9,47.78,75.38
01013500,2003,10,34.87,80.41
01013500,2003,11,26.68,44.61
01013500,2003,12,33.2,58.75
01013500,2004,1,12.56,26.22
01013500,2004,2,5.7,17.23
01013500,2004,3,13.02,20.02
01013500,2004,4,16.26,30.02
01013500,2004,5,11.76,25.73
01013500,2004,6,23.4,50.34
01013500,2004,7,20.8,40.86
01013500,2004,8,47.95,100.04
01013500,2004,9,43.36,65.72
01013500,2004,10,19.22,40.51
01013500,2004,11,19.31,53.65
01013500,2004,12,21.02,44.22
01013500,2005,1,7.6,18.64
01013500,2005,2,17.47,31.05
01013500,2005,3,38.71,59.39
01013500,2005,4,39.91,71.01
01013500,2005,5,15.9,28.43
01013500,2005,6,14.79,44.18
01013500,2005,7,33.29,50.74
01013500,2005,8,58.29,91.27
01013500,2005,9,47.23,77.56
01013500,2005,10,49.53,101.09
01013500,2005,11,47.08,61.41
01013500,2005,12,40.01,87.24
01013500,2006,1,35.05,62.95
01013500,2006,2,17.09,35.13
01013500,2006,3,15.3,21.95
01013500,2006,4,18.4,27.81
01013500,2006,5,21.82,71.87
01013500,2006,6,25.72,55.02
01013500,2006,7,23.7,41.97
01013500,2006,8,11,23.64
01013500,2006,9,22.09,32.89
01013500,2006,10,41.2,82.65
01013500,2006,11,36.47,69.16
01013500,2006,12,17.79,29.05
01013500,2007,1,13.45,30.79
01013500,2007,2,26.83,38.09
01013500,2007,3,41.04,66.74
01013500,2007,4,24.49,43.6
01013500,2007,5,15.29,31.97
01013500,2007,6,21.59,37.2
01013500,2007,7,20.59,35.06
01013500,2007,8,20.12,40.51
01013500,2007,9,22.19,34.55
01013500,2007,10,34.01,37.47
01013500,2007,11,44.45,64.18
01013500,2007,12,19.71,31.87
01013500,2008,1,12.52,27.11
01013500,2008,2,21.76,41.19
01013500,2008,3,24.42,48.18
01013500,2008,4,48.32,67
