SITENO,Dam_name,NID_ID,Owner_name,Owner_type,Purpose,Latitude,Longitude,State,County,City,River_name,State_reg,Dam_type,NID_Height_ft,NID_height_cat,Dam_length_ft,Volume_cubic_yards,Year_completed,Year_completed_category,NID_storage_acre_ft,Max_storage_acre_ft,Normal_storage_acre_ft,Surface_area_acres,Drainage_area_sq_miles,Max_discharge_cubic_ft_sec,Spillway_type,Spillway_width_ft,Hazard_potential_class,Condition_assessment
07243500,Kelly Bros,OK12691,JAMES ORVILLE & SHERRI MCBRIDE,Private,Other,35.68211397,-96.234465,Oklahoma,Creek,NUYAKA,TR-HOPPER CREEK,OWRB,Earth,45,25-50 feet,800,0,1960,1960-1969,270,270,135,1,NULL,2300,Controlled,1,Low,Not Rated
07243500,SCS-Little Deep Fork Creek Site-23,OK10666,CREEK CO CONS DIST,State,Flood Risk Reduction,35.82305487,-96.48192905,Oklahoma,Creek,BRISTOW,TR-LITTLE DEEP FORK CREEK,OWRB,Earth,21,Less than 25 feet,1540,0,1961,1960-1969,272,272,45,14,NULL,1620,Controlled,1,Low,Not Rated
07243500,SCS-Bear-Fall & Coon Creek Site-023,OK02108,LOGAN CO CONS DIST,State,Flood Risk Reduction,35.76838775,-97.19758999,Oklahoma,Logan,WELLSTON,TR-FALL CREEK,OWRB,Earth,20,Less than 25 feet,1000,0,1960,1960-1969,273,273,29,8,NULL,630,Controlled,1,Low,Not Rated
07243500,SCS-Quapaw Creek Site-36,OK02146,LINCOLN CO CONS DIST,State,Flood Risk Reduction,35.5296,-96.92714,Oklahoma,Lincoln,MEEKER,TR-QUAPAW CREEK,OWRB,Earth,25,25-50 feet,1600,0,1968,1960-1969,279,279,71,10,NULL,450,Controlled,1,Low,Not Rated
07243500,Dry Creek 22,OK00484,LINCOLN COUNTY CONSERVATION DISTRICT,Local Government,Flood Risk Reduction,35.86041,-96.95298,Oklahoma,Lincoln,TRYON,DEEP FORK CANADIAN RIVER,NULL,Earth,22,Less than 25 feet,610,13500,1995,1990-1999,285,285,25,7,0.7,200,Uncontrolled,30,Low,Not Rated
07243500,SCS-Little Deep Fork Creek Site-13,OK10632,CREEK CO CONS DIST,State,Flood Risk Reduction,35.91974,-96.53061944,Oklahoma,Creek,DEPEW,TR-E SPRING CR,OWRB,Earth,23,Less than 25 feet,975,0,1960,1960-1969,286,286,55,11,NULL,800,Controlled,1,Low,Not Rated
07243500,SCS-Quapaw Creek Site-29,OK02142,LINCOLN CO CONS DIST,State,Flood Risk Reduction,35.53131161,-97.02898997,Oklahoma,Lincoln,MEEKER,TR-QUAPAW CREEK,OWRB,Earth,48,25-50 feet,800,0,1968,1960-1969,289,289,67,7,NULL,650,Controlled,1,Low,Not Rated
07243500,SCS-Salt-Camp Creek Site-10,OK20789,CREEK CO CONS DIST,State,Flood Risk Reduction,35.7734048,-96.58213978,Oklahoma,Creek,MILFAY,TR-CAMP CREEK,OWRB,Earth,27,25-50 feet,1200,0,1980,1980-1989,291,291,25,10,NULL,672,Controlled,1,Low,Not Rated
07243500,SCS-Quapaw Creek Site-22,OK12065,LINCOLN CO CONS DIST,State,Flood Risk Reduction,35.51555814,-97.00675114,Oklahoma,Lincoln,MEEKER,TR-QUAPAW CREEK,OWRB,Earth,29,25-50 feet,1250,0,1976,1970-1979,295,295,41,11,NULL,321,Controlled,1,Low,Not Rated
07243500,Klutts,OK12724,JOEL WADE & PAMELA HINKLE,Private,Other,35.47464175,-96.37562397,Oklahoma,Okfuskee,CASTLE,TR-BUCKEYE CREEK,OWRB,Earth,25,25-50 feet,350,0,1940,1940-1949,300,300,90,4,NULL,1700,Controlled,1,Low,Not Rated
07243500,Rutler Gail I,OK12550,JUSTIN & AMY WATKINS,Private,Other,35.79936142,-96.67151542,Oklahoma,Lincoln,STROUD,TR-SALT CREEK,OWRB,Earth,24,Less than 25 feet,640,0,1965,1960-1969,300,300,180,14,NULL,2200,Controlled,1,Low,Not Rated
07243500,SCS-Dry Creek Site-15,OK30025,LINCOLN CO. CONSV. DIST.,State,Flood Risk Reduction,35.88667532,-96.88269536,Oklahoma,Lincoln,AGRA,DEEP FORK RIVER,OWRB,Earth,21.400000000000002,Less than 25 feet,700,0,1998,1990-1999,300,300,23,6,403,260,Controlled,1,Low,Not Rated
07243500,SCS-Bear-Fall & Coon Creek Site-007,OK02092,LOGAN CO CONS DIST,State,Flood Risk Reduction,35.83513244,-97.19733495,Oklahoma,Logan,WELLSTON,TR-BEAR CR,OWRB,Earth,26,25-50 feet,870,0,1960,1960-1969,305,305,30,7,NULL,730,Controlled,1,Low,Not Rated
07243500,SCS-Bear-Fall & Coon Creek Site-022,OK02107,LOGAN CO CONS DIST,State,Flood Risk Reduction,35.75483,-97.19173,Oklahoma,Logan,WELLSTON,TR-FALL CR,OWRB,Earth,21,Less than 25 feet,780,0,1963,1960-1969,306,306,31,12,NULL,1040,Controlled,1,Low,Not Rated
07243500,SCS-Quapaw Creek Site-24,OK02139,LINCOLN CO CONS DIST,State,Flood Risk Reduction,35.505652999999995,-97.048484,Oklahoma,Lincoln,MEEKER,TR-QUAPAW CREEK,OWRB,Earth,40,25-50 feet,1200,0,1973,1970-1979,308,308,33,7,NULL,660,Controlled,1,Significant,Fair
07243500,SCS-Quapaw Creek Site-37,OK02147,LINCOLN CO CONS DIST,State,Flood Risk Reduction,35.56060584,-96.9240944,Oklahoma,Lincoln,MEEKER,TR-COON CREEK,OWRB,Earth,27,25-50 feet,900,0,1972,1970-1979,311,311,37,10,NULL,620,Controlled,1,Low,Not Rated
07243500,SCS-Little Deep Fork Creek Site-28,OK10610,CREEK CO CONS DIST,State,Flood Risk Reduction,35.80676,-96.455669,Oklahoma,Creek,BRISTOW,TR-LITTLE DEEP FORK CREEK,OWRB,Earth,18,Less than 25 feet,1400,0,1960,1960-1969,313,313,52,16,NULL,1725,Controlled,1,Significant,Fair
07243500,Sportsmans Club,OK02426,SOVEREIGN PROPERTIES HOLD CO LLC,Private,Recreation,35.513428999999995,-97.585979,Oklahoma,Oklahoma,OKLAHOMA CITY,TRI-DEEP FORK CREEK,OWRB,Earth,15,Less than 25 feet,330,0,1948,1940-1949,313,313,138,25,0.27,NULL,Controlled,1,High,Poor
07243500,SCS-Bear-Fall & Coon Creek Site-020,OK02104,LOGAN CO CONS DIST,State,Flood Risk Reduction,35.72638148,-97.16826823,Oklahoma,Logan,WELLSTON,TR-OPOSSUM CREEK,OWRB,Earth,23,Less than 25 feet,950,0,1960,1960-1969,317,317,58,15,NULL,1000,Controlled,1,Low,Not Rated
07243500,SCS-Quapaw Creek Site-33,OK12069,LINCOLN CO CONS DIST,State,Flood Risk Reduction,35.5537092,-96.95951799,Oklahoma,Lincoln,MEEKER,TR-QUAPAW CREEK,OWRB,Earth,30,25-50 feet,1000,0,1974,1970-1979,318,318,37,9,NULL,608,Controlled,1,Low,Not Rated
07243500,SCS-Quapaw Creek Site-34,OK12070,LINCOLN CO CONS DIST,State,Flood Risk Reduction,35.55246703,-96.95415085,Oklahoma,Lincoln,MEEKER,TR-QUAPAW CREEK,OWRB,Earth,29,25-50 feet,1100,0,1974,1970-1979,318,318,37,10,NULL,645,Controlled,1,Low,Not Rated
07243500,Coffey,OK12742,5K LAKE PROPERTIES LLC,Private,Recreation,35.53301908,-96.45119003,Oklahoma,Okfuskee,MASON,TR-LITTLE WALNUT CREEK,OWRB,Earth,30,25-50 feet,180,0,1950,1950-1959,320,320,180,NULL,NULL,500,Controlled,1,Low,Not Rated
07243500,Oknoname 111013,OK12278,MARY LOU JAMISON,Private,Other,35.77968571,-96.13857923,Oklahoma,Okmulgee,HOFFMAN,TR-TIGER CR,OWRB,Earth,21,Less than 25 feet,700,0,1940,1940-1949,320,320,24,6,NULL,1170,Controlled,1,Low,Not Rated
07243500,Will Rogers Park Holding Pond,OK11069,CITY OF OKLAHOMA CITY,Local Government,Flood Risk Reduction,35.504774,-97.574971,Oklahoma,Oklahoma,OKLAHOMA CITY,TR-DEEP FORK,OWRB,Earth,24,Less than 25 feet,1230,0,1967,1960-1969,323,323,160,26,3.8,25757,Controlled,42,High,Fair
07243500,Gormly Alger,OK10040,BOBBY C GORMLY JR,Private,Other,35.62041531,-96.2127475,Oklahoma,Okfuskee,BEGG,TR-NUYAKA CREEK,OWRB,Earth,27,25-50 feet,580,0,1950,1950-1959,330,330,170,11,NULL,480,Controlled,1,Low,Not Rated
07243500,SCS-Quapaw Creek Site-35,OK02145,LINCOLN CO CONS DIST,State,Flood Risk Reduction,35.532959999999996,-96.93954,Oklahoma,Lincoln,MEEKER,TR-QUAPAW CREEK,OWRB,Earth,28,25-50 feet,1300,0,1970,1970-1979,331,331,75,10,NULL,968,Controlled,1,Low,Not Rated
07243500,Kickapoo Nations 16,OK00482,LINCOLN COUNTY CONSERVATION DISTRICT,Local Government,Flood Risk Reduction,35.60797,-97.0027,Oklahoma,Lincoln,CHANDLER,TR-PECAN CREEK,NULL,Earth,23,Less than 25 feet,800,0,1995,1990-1999,331,331,50,14,1.12,480,Uncontrolled,50,High,Not Rated
07243500,SCS-Little Deep Fork Creek Site-09,OK10602,CREEK CO CONS DIST,State,Flood Risk Reduction,35.8203783,-96.57008924,Oklahoma,Creek,DEPEW,TR-LITTLE DEEP FORK CREEK,OWRB,Earth,21,Less than 25 feet,1540,0,1960,1960-1969,332,332,43,14,NULL,1720,Controlled,1,Low,Not Rated
07243500,SCS-Quapaw Creek Site-17,OK02137,LINCOLN CO CONS DIST,State,Flood Risk Reduction,35.51931321,-96.9570165,Oklahoma,Lincoln,MEEKER,TR-QUAPAW CREEK,OWRB,Earth,32,25-50 feet,1000,0,1970,1970-1979,334,334,69,7,NULL,760,Controlled,1,Low,Not Rated
07243500,SCS-Okfuskee Tributaries Site-W08,OK12088,OKFUSKEE CO CONS DIST,State,Flood Risk Reduction,35.57109373,-96.39401789,Oklahoma,Okfuskee,MASON,TR-WALNUT CREEK,OWRB,Earth,27,25-50 feet,1440,0,1975,1970-1979,341,341,33,9,NULL,315,Controlled,1,Low,Not Rated
07243500,SCS-Little Deep Fork Creek Site-17,OK10633,CREEK CO CONS DIST,State,Flood Risk Reduction,35.86552894,-96.52704089,Oklahoma,Creek,DEPEW,TR-E SPRING CR,OWRB,Earth,23,Less than 25 feet,910,0,1960,1960-1969,345,345,52,14,NULL,1515,Controlled,1,Low,Not Rated
07243500,SCS-Okfuskee Tributaries Site-B4,OK12091,OKFUSKEE CO CONS DIST,State,Flood Risk Reduction,35.6025569,-96.31544996,Oklahoma,Okfuskee,WELBY,TR-DEEP FORK RIV,OWRB,Earth,28,25-50 feet,800,0,1977,1970-1979,347,347,22,7,NULL,281,Controlled,1,Low,Not Rated
07243500,SCS-Dry Creek Site-14,OK22268,LINCOLN CO. CONSV. DIST,State,Flood Risk Reduction,35.87737248,-96.86480849,Oklahoma,Lincoln,NULL,NULL,OWRB,NULL,26,25-50 feet,NULL,0,1994,1990-1999,353,353,0,NULL,NULL,NULL,Controlled,1,Low,Not Rated
07243500,SCS-Little Deep Fork Creek Site-47,OK10625,CREEK CO CONS DIST,State,Flood Risk Reduction,35.75264354,-96.27357788,Oklahoma,Creek,OKMULGEE,TR-LITTLE DEEP FORK CREEK,OWRB,Earth,26,25-50 feet,830,0,1960,1960-1969,360,360,43,10,NULL,1950,Controlled,1,Low,Not Rated
07243500,SCS-Bear-Fall & Coon Creek Site-017,OK02101,LOGAN CO CONS DIST,State,Flood Risk Reduction,35.79485219,-97.16641168,Oklahoma,Logan,FALLS,TR-BEAR CREEK,OWRB,Earth,20,Less than 25 feet,1300,0,1960,1960-1969,364,364,46,14,NULL,1175,Controlled,1,Low,Not Rated
07243500,SCS-Bear-Fall & Coon Creek Site-032,OK02411,OKLAHOMA CO CONS DIST,State,Flood Risk Reduction,35.72067975,-97.25763672,Oklahoma,Oklahoma,LUTHER,TR-COON CREEK,OWRB,Earth,27,25-50 feet,1000,0,1960,1960-1969,375,375,36,9,NULL,1068,Controlled,1,Low,Not Rated
07243500,SCS-Okfuskee Tributaries Site-W02,OK12085,OKFUSKEE CO CONS DIST,State,Flood Risk Reduction,35.57136568,-96.35102783,Oklahoma,Okfuskee,MASON,TR-WALNUT CR,OWRB,Earth,35,25-50 feet,1150,0,1976,1970-1979,378,378,35,7,NULL,630,Controlled,1,Low,Not Rated
07243500,SCS-Okfuskee Tributaries Site-W04,OK12086,OKFUSKEE CO CONS DIST,State,Flood Risk Reduction,35.55122549,-96.37430186,Oklahoma,Okfuskee,MASON,TR-WALNUT CREEK,OWRB,Earth,30,25-50 feet,970,0,1975,1970-1979,384,384,35,8,NULL,425,Controlled,1,Low,Not Rated
07243500,SCS-Little Deep Fork Creek Site-02,OK02125,LINCOLN CO CONS DIST,State,Flood Risk Reduction,35.87276609,-96.62953647,Oklahoma,Lincoln,DEPEW,TR-LITTLE DEEP FORK CREEK,OWRB,Earth,20,Less than 25 feet,950,0,1961,1960-1969,386,386,50,8,NULL,935,Controlled,1,Low,Not Rated
07243500,SCS-Little Deep Fork Creek Site-03,OK02124,LINCOLN CO CONS DIST,State,Flood Risk Reduction,35.864489999999996,-96.63094,Oklahoma,Lincoln,DEPEW,TR-LITTLE DEEP FORK CREEK,OWRB,Earth,25,25-50 feet,900,0,1960,1960-1969,391,391,60,15,NULL,1050,Controlled,1,Low,Not Rated
07243500,SCS-Little Deep Fork Creek Site-56b,OK10637,CREEK CO CONS DIST,State,Flood Risk Reduction,35.83575501,-96.34154289,Oklahoma,Creek,BRISTOW,TR-ROCK CREEK,OWRB,Earth,31,25-50 feet,790,0,1972,1970-1979,400,400,51,13,NULL,635,Controlled,1,Low,Not Rated
07243500,SCS-Robinson Creek Site-8,OK22063,LINCOLN CO CONS DIST,State,Flood Risk Reduction,35.51442573,-96.77537755,Oklahoma,Lincoln,NULL,TR ROBINSON CR,OWRB,Earth,25,25-50 feet,1300,0,1985,1980-1989,400,400,46,10,1.1,594,Controlled,1,Low,Not Rated
07243500,Davenport,OK02154,TOWN OF DAVENPORT,Local Government,Water Supply,35.68276336,-96.75893407,Oklahoma,Lincoln,DAVENPORT,TR-CHUCKAHO CREEK,OWRB,Earth,40,25-50 feet,1110,0,1955,1950-1959,400,400,220,7,NULL,6600,Controlled,2,Low,Not Rated
07243500,SCS-Little Deep Fork Creek Site-52,OK10628,CREEK CO CONS DIST,State,Flood Risk Reduction,35.76263333,-96.21175072,Oklahoma,Creek,EDNA,TR-BROWNS CREEK,OWRB,Earth,26,25-50 feet,1190,0,1960,1960-1969,402,402,59,13,NULL,2420,Controlled,1,Low,Not Rated
07243500,SCS-Quapaw Creek Site-06,OK12059,LINCOLN CO CONS DIST,State,Flood Risk Reduction,35.507857,-96.806669,Oklahoma,Lincoln,SPARKS,TR-LITTLE SAND CREEK,OWRB,Earth,36,25-50 feet,1100,0,1975,1970-1979,410,410,22,6,NULL,1420,Controlled,1,Significant,Fair
07243500,Oknoname 111008,OK10037,BOCK FAMILY LLC,Private,Other,35.67285048,-96.1162389,Oklahoma,Okmulgee,OKMULGEE,TR-DEEP FORK RIV,OWRB,Earth,22,Less than 25 feet,780,0,1955,1950-1959,410,410,250,12,NULL,2860,Controlled,2,Low,Not Rated
