SITENO,TOT_STREAM_SLOPE,TOT_STREAM_LENGTH,TOT_STRM_DENS,SINU,TOT_BFI,TOT_EWT,TOT_RECHG,TOT_SATOF,TOT_TWI,TOT_IEOF,TOT_CONTACT,TOT_RF7100,q_mean,FDC_slope,mean_hf_date,Q5,Q95,high_q_freq,high_q_dur,low_q_freq,low_q_dur,zero_q,mean_cfs,CV,skew,kurt,ar1,amplitude,phase
12374250,0.08582,43.23,0.85,1.05,75.93,-69.99,153.79,1.65,9.6,0.08,16.19,21.33,0.459557637,1.055923168,123.7631579,0.09,1.8805,1.789473684,13.66176471,4.263157895,6.783950617,0,9.57,0.6,0.62,0.39,0.955,0.71,125.044
12375900,0.063556,12.43,0.63,1.17,77,-102.08,155.09,0,8.81,0,7.58,38.05,2.566303314,0.724917714,155.5263158,0.71,9.53,2.315789474,5.681818182,0.263157895,1.5,0,20.98,0.52,0.58,0.32,0.888,0.87,166.405
12377150,0.146987,24.56,0.75,1.08,75.12,-93.97,150.67,0,8.89,0.35,11.39,44.92,3.844452755,1.247040927,164.3414634,0.63,15.084,4,4.987804878,3.975609756,14.61349693,0,51.05,0.58,0.54,0.27,0.874,0.93,177.353
12381400,0.03265,93.11,0.62,1.09,76.01,-84.93,166.01,0,10.52,0.8,26.86,41.35,1.027934292,1.082260417,149.15,0.13,4.38,1.6,17,4.825,13.9119171,0,62.64,0.61,0.58,0.33,0.952,0.87,158.609
12383500,0.051282,12.09,0.68,1.18,77.28,-121,148.4,0,8.51,0.27,13.6,32.89,1.414006287,0.721936866,156.037037,0.53,3.8095,0.037037037,1,0.111111111,2,0,10.35,0.37,0.42,0.22,0.95,0.96,187.445
12388400,0.032755,35.72,0.53,1.05,76.01,-72.95,196.69,0,9.43,0.1,15.31,21.18,0.649541675,0.773553046,142.3333333,0.14,2.53,2.444444444,8.757575758,1.296296296,3.6,0,17.98,0.58,0.63,0.38,0.94,0.77,148.832
12390700,0.028327,243.23,0.52,1.09,69.56,-87.48,483.3,1.87,9.96,0.14,9.72,42.71,1.109933142,1.311871492,125.1627907,0.19,4.11,2.674418605,6.313043478,1.813953488,27.98717949,0,213.56,0.57,0.52,0.25,0.933,0.85,126.99
12411000,0.049107,747.15,0.86,1.02,65.78,-80.95,488.74,1.9,10.41,0,8.08,44.24,1.867547278,1.597258272,101.7674419,0.22,7.4,4.209302326,5.834254144,5.162790698,20.70720721,0,661.54,0.61,0.54,0.28,0.898,0.77,101.821
12413000,0.043006,1788.6,0.77,1.06,66.1,-81.57,519.81,1.84,10.29,0.12,10.84,42.43,1.898648838,1.677616249,97.48837209,0.23,6.92,3.372093023,4.296551724,4.279069767,22.63043478,0,1797.07,0.59,0.5,0.25,0.894,0.77,97.27
12413500,0.042929,2323.61,0.74,1.45,65.95,-81.47,550.7,1.82,10.26,0.31,12.33,42.5,1.856911351,1.54468403,100.1891892,0.24,6.7935,3.324324324,4.243902439,3.702702703,23.94890511,0,2375.54,0.58,0.51,0.25,0.904,0.77,100.066
12414500,0.047071,1869.5,0.7,1.23,67.31,-84.04,619.28,1.67,10.09,0.19,9.4,50.08,2.051987265,1.46139665,120.5813953,0.31,7.33,2.720930233,5.418803419,6.627906977,10.71929825,0,2232.49,0.57,0.49,0.22,0.919,0.87,122.521
12447390,0.091327,43.47,0.75,1.08,66.48,-86.96,350.48,0,9.85,0.97,13.37,39.75,1.385640242,1.227632101,147.8837209,0.12,7.09,1.651162791,30.25352113,4.534883721,32.46666667,0,32.82,0.7,0.65,0.39,0.947,0.79,154.148
12449500,0.079776,2587.13,0.76,1.34,67.47,-87.64,337.88,0.19,9.58,0.87,11.98,45.41,1.035231862,1.152155278,142.59375,0.16,4.5465,2.34375,14.09333333,3.5625,20.47368421,0,1444.15,0.62,0.6,0.33,0.949,0.84,148.576
12449950,0.076242,3520.89,0.77,1.05,68.12,-84.56,270.93,0.15,9.58,0.76,11.46,40.51,0.837265839,1.048007091,144.255814,0.15,3.49,1.906976744,15.43902439,2.372093023,15.71568627,0,1568.52,0.6,0.59,0.32,0.954,0.84,149.971
12451000,0.131645,550.95,0.66,1.05,64.25,-112.08,1086.23,0.99,9.18,0,7.09,114.71,4.17217383,1.22002996,147.255814,0.64,13.81,1.348837209,2.879310345,2.581395349,14.98198198,0,1416.75,0.52,0.44,0.2,0.895,0.89,162.431
12459000,0.077492,1783.67,0.69,1.06,68.31,-95.37,900.51,2.29,9.82,0.61,13.67,106.6,2.799917861,1.210835671,131.9767442,0.46,8.868,0.744186047,3.34375,2.093023256,17.45555556,0,2964.21,0.5,0.42,0.19,0.934,0.79,141.897
12462500,0.072905,2392.28,0.71,1.06,68.69,-92.3,734.19,1.98,9.82,0.63,15.08,89,2.293865648,1.220919479,129.3023256,0.33,7.25,0.76744186,3.303030303,2.093023256,21.03333333,0,3161.96,0.5,0.42,0.19,0.933,0.78,138.641
12488500,0.059879,157.65,0.76,1.13,66.24,-103.84,976,0.32,10.54,0,5.14,101.04,2.726008914,1.261662991,124.6976744,0.44,9.01,1.395348837,3.266666667,2.348837209,18.94059406,0,229.85,0.52,0.44,0.21,0.917,0.74,130.695
13011500,0.017166,198.07,0.46,1.29,73.39,-36.79,464.49,2.9,10.67,0,19.64,28.19,1.465777778,0.839751025,148.3488372,0.18,7.73,1.88372093,25.77777778,7.418604651,17.26645768,0,258.05,0.69,0.69,0.44,0.952,0.77,154.643
13011900,0.035819,532.95,0.63,1.65,70.05,-59.63,429.68,2.06,10.11,0.48,15.94,30.34,1.538028683,0.808063921,161.6428571,0.3,6.72,2.785714286,10.5042735,4.642857143,4.692307692,0,533.07,0.59,0.61,0.35,0.947,0.87,171.947
13018300,0.005605,8.92,0.3,1.07,77.8,-63.39,309.56,1.87,9.12,0.7,5.88,24.34,1.023368354,0.79478002,155.0697674,0.27,3.61,0.976744186,9.238095238,0.744186047,7.03125,0,12.27,0.51,0.56,0.34,0.97,0.83,172.456
13023000,0.033987,664.07,0.57,1.11,77.07,-62.19,369.88,0.29,10.06,0.7,18.14,26.57,1.327234002,0.861588794,147.1860465,0.34,4.54,0.930232558,7.2,0.930232558,2.05,0,631.05,0.49,0.52,0.27,0.962,0.93,160.835
13083000,0.041167,119.27,0.87,1.11,76.97,-55.01,51.61,0,10.39,8.26,96.58,16.94,0.255186441,0.251437076,106.0952381,0.14,0.57,0.071428571,8,0.095238095,6.75,0,14.33,0.26,0.48,0.36,0.962,0.65,122.268
13161500,0.026403,852.94,0.86,1.45,66.76,-36.94,86.97,0,11.01,1.01,121.54,17.92,0.23659322,1.5511617,117.4285714,0.01,1.11,2,20.17857143,4.238095238,29.1741573,0.117340287,95.84,0.68,0.61,0.36,0.974,0.78,121.875
13186000,0.06158,1453.06,0.87,1.03,72.71,-73.91,303.05,0,10.1,0.04,5.97,32.46,1.035100923,0.808533016,136.372093,0.22,4.23,2.046511628,11.70454545,2.488372093,4.91588785,0,704.62,0.57,0.6,0.34,0.966,0.84,142.385
13200000,0.035986,815.88,0.79,1.04,68.79,-76.73,193.29,0,10.18,0.06,5.76,31.98,0.597803247,1.355024337,105.0930233,0.05,2.45,2.093023256,13.38888889,4.093023256,21.01704545,0,251.25,0.62,0.54,0.29,0.959,0.84,108.221
13235000,0.064556,862.51,0.75,1.34,74.62,-106.39,504.31,0,9.68,0,17.18,36.32,1.732957657,0.757204464,142.4186047,0.51,6.07,1.162790698,7.06,0.255813953,1.818181818,0,819.39,0.48,0.55,0.3,0.961,0.89,151.566
13240000,0.079132,94.02,0.75,1.33,63.84,-69.48,525.11,1.08,9.98,0,1.2,51.41,2.616730798,1.359018404,143.6486486,0.21,12.55,3.432432432,14.01574803,6.135135135,22.22907489,0,135.1,0.68,0.62,0.35,0.906,0.8,146.968
13302500,0.05953,6231.33,0.71,1.03,76.02,-81.9,205.4,0,10.25,0.13,32.3,19.29,0.52078128,0.411098794,135.7906977,0.2,1.64,0.465116279,6.25,0.162790698,1.571428571,0,1858.11,0.39,0.55,0.38,0.971,0.72,156.796
13310700,0.065284,729.58,0.85,1.13,68.78,-86.1,429.82,1.28,9.9,0,1.42,32.54,1.47541223,1.015195433,137.8888889,0.29,5.92,2.416666667,10.10344828,3.75,5.844444444,0,515.83,0.58,0.58,0.31,0.947,0.85,140.484
13313000,0.040026,417.23,0.74,1.17,70.79,-76.93,440.71,1.27,10.5,0,1.37,31.87,1.48915632,0.857747347,144.255814,0.24,6.89,2.186046512,17.55319149,6.023255814,8.791505792,0,343.89,0.63,0.65,0.39,0.952,0.81,149.611
13331500,0.052344,390.3,0.63,1.22,68.58,-59.18,437.23,0.03,10.07,0.09,32.94,58.43,1.762046482,1.417518874,141.6046512,0.23,6.752,3.209302326,6.413043478,6.534883721,11.75088968,0,445.64,0.58,0.51,0.24,0.93,0.91,143.036
13336500,0.079829,3903.6,0.79,1.08,69.67,-84.12,522.52,0,9.67,0,5.72,43.56,1.802098695,1.25960235,136.627907,0.25,7.25,2.744186047,9.5,6.418604651,11.22826087,0,3655.03,0.59,0.54,0.26,0.94,0.9,138.013
13337000,0.054996,2203.42,0.72,1.4,67.75,-81.02,601.46,0.02,9.69,0,8.53,63.78,2.167983703,1.327179184,133.5952381,0.29,8.42,2.952380952,7.64516129,6.452380952,11.02583026,0,2704.06,0.59,0.52,0.26,0.941,0.89,135.558
13338500,0.043024,2655.99,0.88,1,69.22,-49.91,253.89,1.46,10.71,0.28,55.31,27.92,0.76109965,1.298270699,127.3255814,0.11,2.78,2.441860465,7.447619048,6.720930233,8.339100346,0,941.04,0.57,0.5,0.23,0.927,0.93,130.181
13340000,0.057392,11449.67,0.8,1,68.03,-68.29,426.75,0.63,10.18,0.1,59.34,42.34,1.474769182,1.392533576,131.1395349,0.2,5.47,2.465116279,6.41509434,5.534883721,11.36134454,0,8602.14,0.57,0.49,0.22,0.939,0.93,131.632
13340600,0.046114,2407.29,0.72,1.07,68.76,-76.88,652.46,1.24,10.03,0.06,7.82,69.8,2.411182529,1.173382252,126.7857143,0.48,8.3,1.5,5.698412698,3.142857143,5.848484848,0,3309.82,0.52,0.48,0.22,0.94,0.9,129.811
13351000,0.008154,4335.31,0.7,1.06,46.57,-33.16,39.15,1.36,12.07,1.04,519.49,15.18,0.227514804,1.824424216,70.23255814,0.01,0.93,4.139534884,8.308988764,3.046511628,45.16030534,1.088825215,578.4,0.67,0.57,0.33,0.887,0.74,70.099
