SITENO,TOT_SILTAVE,TOT_CLAYAVE,TOT_SANDAVE,TOT_NO10AVE,TOT_NO200AVE,TOT_NO4AVE,TOT_OM,TOT_PERMAVE,TOT_ROCKDEP,TOT_BDAVE,TOT_AWCAVE,TOT_WTDEP,TOT_SALINAVE,TOT_pH,TOT_HGA,TOT_HGAC,TOT_HGAD,TOT_HGB,TOT_HGBC,TOT_HGBD,TOT_HGC,TOT_HGCD,TOT_HGD,TOT_HGVAR,TOT_KFACT,TOT_KFACT_UP
07069500,37.15,48.28,14.56,77.6,66.28,83.72,0.98,1.57,53.74,1.33,0.13,5.54,0,5.67,0.14,0,0,56.68,0,0,23.06,0,20.12,0,0.3,0.29
07071500,39.96,43.54,16.5,66.84,56.15,74.76,0.69,1.65,56.11,1.35,0.11,5.17,0,5.07,0.68,0,0,60.62,0,0,27.42,0,11.28,0,0.34,0.3
07072000,39.2,45.11,15.69,69.64,59.02,77.04,0.78,1.63,55.43,1.35,0.12,5.27,0,5.21,0.48,0,0,59.9,0,0,25.73,0,13.9,0,0.33,0.3
07083000,36.24,13.99,49.77,51.05,25.51,58.76,1.69,4.14,45.53,1.43,0.08,5.85,2.53,5.85,9.79,0,0,47.41,0,0,20.57,0,22.23,0,0.31,0.13
07142300,34.81,18.63,46.56,98.14,52.75,99.66,0.39,5.61,60,1.47,0.14,5.47,61.85,7.03,33.81,0,0,55,0,0,1.53,0,9.67,0,0.28,0.24
07144200,48.49,33.05,18.46,99.33,81.19,99.88,1.01,1.96,59.35,1.4,0.17,4.73,194.21,7.14,8.76,0,0,17.48,0,0,41.05,0,32.71,0,0.33,0.32
07144780,27.98,17.56,54.46,96.62,43.95,98.75,0.37,5.87,59.88,1.5,0.13,4.63,459.56,6.99,34.45,0,0,37.51,0,0,2.98,0,25.06,0,0.26,0.24
07145700,46.61,34.63,18.76,98.69,80.29,99.31,1.15,0.87,57.35,1.48,0.17,5.65,9.65,7.31,0.28,0,0,38.66,0,0,18.72,0,42.34,0,0.35,0.39
07147070,47.22,42.04,10.73,97.39,86.92,98.15,2.14,0.47,53.34,1.41,0.19,5.15,236.69,7.2,0,0,0,13.36,0,0,17.65,0,68.99,0,0.34,0.33
07147800,49.48,40.7,9.82,92.36,83.23,93.74,1.88,0.49,48.37,1.41,0.18,5.47,208.73,7.11,0,0,0,13.63,0,0,32.75,0,53.62,0,0.38,0.34
07148400,43.18,24.52,32.3,95.1,64.57,97.21,0.64,2.81,56.18,1.48,0.15,5.96,126.13,7.72,8.96,0,0,57.7,0,0,9.83,0,23.52,0,0.33,0.32
07149000,42.27,24.44,33.29,94.49,63.36,96.64,0.6,2.58,58.28,1.47,0.15,5.95,86.17,7.59,6.49,0,0,65.72,0,0,11.5,0,16.29,0,0.33,0.3
